Source Title (Medline-sourced journals are indicated in Green),Print-ISSN,E-ISSN,Publisher imprints grouped to main Publisher
Contact Dermatitis,01051873,16000536,Wiley-Blackwell
Contact Lens,00107271,,Libra Publishing Ltd.
Contact Lens and Anterior Eye,13670484,,Elsevier
Contact Lens Journal,03069575,,Libra Publishing Ltd.
Contact Lens Medical Bulletin,0010728X,,Karger
Contact point,00107301,,University of the Pacific
Contactologia,01719599,,Ferdinand Enke Verlag
Contactologia,14359472,,Enke
"Contagion: Journal of Violence, Mimesis, and Culture",10757201,19301200,Michigan State University Press
Containerisation International,00107379,,Taylor & Francis
Contemporanea,11273070 ,,Societa Editrice Il Mulino
Contemporary Accounting Research,08239150,,Canadian Academic Accounting Association/Association Canadienne des Professeursde Comptabilite
Contemporary administrator,01919873,,"Contemporary Administrator, Inc."
Contemporary administrator for long-term care,07452837,,"Contemporary Administrator, Inc."
Contemporary Arab Affairs,17550912 ,17550920 ,Taylor & Francis
Contemporary British History,13619462,,Frank Cass Publishers
Contemporary Buddhism,14639947,,Taylor & Francis
Contemporary Chinese Thought,10971467 ,15580997 ,M.E. Sharpe Inc.
Contemporary Clinical Gynecology and Obstetrics,14718359,,Parthenon Publishing Group
Contemporary Clinical Trials,15517144,,Elsevier
Contemporary Concepts of Condensed Matter Science,15720934,,Elsevier
Contemporary crises,03781100,,Springer
Contemporary Economic Policy,10743529,14657287,Wiley-Blackwell
Contemporary Economics,18979254 ,20840845 ,Vizja Press and IT Limited
Contemporary Educational Psychology,0361476X,10902384,Elsevier
Contemporary Educational Research Quarterly,18144810 ,,National Taiwan Normal University Educational Research and Evaluation Center
Contemporary Engineering Sciences,13136569 ,13147641 ,Hikari Ltd.
Contemporary European History,09607773 ,,Cambridge University Press
Contemporary Family Therapy,08922764,15733335,Springer
Contemporary French and Francophone Studies,17409292 ,,Taylor & Francis
Contemporary French Civilization,01479156,,Montana State University
Contemporary Hypnosis,09605290,,Whurr Publishers Ltd.
Contemporary Hypnosis and Integrative Therapy,20492146 ,20492154 ,Crown House
Contemporary Islam,18720218,18720226,Springer
Contemporary Issues in Early Childhood,14639491,,Triangle Journals Ltd.
Contemporary Jewry,01471694 ,,Association for the Sociological Study of Jewry
Contemporary Justice Review,10282580,,Taylor & Francis
Contemporary Literature,00107484 ,15489949 ,University of Wisconsin Press
Contemporary longterm care,87509652,,NonProfit Times Publishing Group
Contemporary Marxism,01938703,,Synthesis Publications
Contemporary Music Review,07494467,,Taylor & Francis
Contemporary Nurse,10376178,,eContent Management Pty Ltd
Contemporary Ob/Gyn,00903159,,Advanstar Communications Inc.
Contemporary Organic Synthesis,13504894,,RSC
Contemporary Pacific,1043898X,15279464,University of Hawaii Press
Contemporary Pediatrics,87500507,,Advanstar Communications Inc.
Contemporary Physics,00107514,13665812,Taylor & Francis
Contemporary Policy Issues,07350007,,OUP
Contemporary Political Theory,14708914 ,14769336 ,Macmillan
Contemporary Politics,13569775,14693631,Taylor & Francis
Contemporary Pragmatism,15723429 ,,Editions Rodopi B.V.
Contemporary Problems of Ecology,19954255 ,19954263 ,Maik Nauka/Interperiodica Publishing
Contemporary Psychoanalysis,00107530,,William Alanson White Psychoanalytic Institute
Contemporary Psychology: APA Review of Books,00107549,,APA
Contemporary Readings in Law and Social Justice,19489137 ,,Addleton Academic Publishers
Contemporary Rehab,10759298 ,,National Rehabilitation Association
Contemporary Reviews in Obstetrics and Gynaecology,09539182,,Lancashire Parthenon Publishing Group
Contemporary Security Policy,13523260,17438764,Taylor & Francis
Contemporary Social Science: Journal of the Academy of Social Sciences,21582041 ,2158205X ,Taylor & Francis
Contemporary Sociology,00943061,,SAGE
Contemporary South Asia,09584935,1469364X,Taylor & Francis
Contemporary Southeast Asia,0129797X ,,Singapore University Press
Contemporary Studies in Economic and Financial Analysis,15693759,,Elsevier
Contemporary Theatre Review,10486801,14772264,Taylor & Francis
Contemporary Topics in Laboratory Animal Science,10600558,,American Association for Laboratory Animal Science
Contemporary Urology,10422250,,Advanstar Communications Inc.
Contemporary Women's Writing,17541476 ,17541484 ,OUP
Context Magazine,07799969,,Postbus
Continental Philosophy Review,13872842,,Springer
Continental Shelf Research,02784343,,Elsevier
"Continuing Education in Anaesthesia, Critical Care and Pain",17431816,17431824,OUP
Continuing Education in Radiologic Technology,15433544 ,,Elsevier
Continuing Medical Education - Cardiology,14630486 ,,
Continuity and Change,02684160,1469218X,Cambridge University Press
Continuum,01956043,,Science and Medicine
Continuum (Society for Social Work Administrators in Health Care),10828419,,American Hospital Association
CONTINUUM Lifelong Learning in Neurology,10802371,,Wolters Kluwer Health
Continuum Mechanics and Thermodynamics,09351175,14320959,Springer
Contraception,00107824,,Elsevier
Contraception Fertilite Sexualite,11651083,,Elsevier
Contraception Report,,,Nj Emron
Contraceptive technology update,0274726X,,Thomson American Health Consultants Inc.
"Contract (New York, N.Y. : 1960)",00107832,,Contract Publications
Contract design,10535632,,Gralla Publications
Contract interiors,0148012X,,Billboard Publications
Contrast Media and Molecular Imaging,15554309,15554317,Wiley-Blackwell
"Contribution - University of California, Water Resources Center",05754941,,University of California Press
Contributions of Mineralogy and Petrology,00107999,,Springer
Contributions of the Astronomical Observatory Skalnate Pleso,13351842,13360337,Astronomicky Ustav SAV
"Contributions of the Geophysical Institute, Slovak Academy of Sciences",05864607,,Vydavatel'stvo Slovenkej Akademie Vied/Veda Publishing House of the Slovak Academy of Sciences
"Contributions of the Geophysical Institute, Slovak Academy of Sciences, Series of Meteorology",02319004,,Slovenska Akademia Vied
Contributions to Asian Studies,03042693,,Brill
Contributions to Atmospheric Physics,00058173,,Gebruder Borntraeger Verlagsbuchhandlung
"Contributions to Conflict Management, Peace Economics and Development",15728323,,ScienceDirect
Contributions to Economic Analysis and Policy,15380645,,Walter de Gruyter
Contributions to Economics,14311933,,Physica-Verlag Gmbh und Co.
"Contributions to Geology - University of Wyoming, Laramie",00107980,,University of Wyoming
Contributions to Geophysics and Geodesy,13352806,,Slovenska Akademia Vied
Contributions to Gynecology and Obstetrics,03044246,,Karger
Contributions to Human Development,03014193 ,16642570 ,Karger
Contributions to Indian Sociology,00699667,,SAGE
Contributions to Macroeconomics,,,Walter de Gruyter
Contributions to microbiology,14209519,,Karger
Contributions to microbiology and immunology,03013081,,Karger
Contributions to Nephrology,03025144,,Karger
Contributions to Plasma Physics,08631042,15213986,Wiley-Blackwell
Contributions to Political Economy,02775921,,OUP
Contributions to the History of Concepts,18079326 ,1874656X ,Berghahn
Contributions to Theoretical Economics,15345971,,Walter de Gruyter
Contributions to Zoology,13834517,,SPB Academic Publ
"Control (Chicago, Ill)",10495541,,Putman Media
Control and computers,07309538,,ACTA Press
Control and Cybernetics,03248569,,Polish Academy of Sciences
Control and Instrumentation,00108022,,Centaur Communications Ltd.
Control and Intelligent Systems,14801752,,ACTA Press
Control Engineering,00108049,,Technical Publications Co.
Control Engineering and Applied Informatics,14548658 ,,Romanian Society of Control Engineering and Technical Informatics
Control Engineering Practice,09670661,,Elsevier
Control Solutions International,15321274,,Electronic Journals Project
Controle and Automacao,01031759,,Sociedade Brasileira de Automatica
Controlled Clinical Trials,01972456,,Elsevier
Convergence,00108146 ,,SAGE
Convergences Medicales,07500785,,Convergences Medicales
Convergencia,14051435 ,,Facultad de Ciencias Publicas y Administracion Publica de la Universidad Autonoma del Estado de Mexico
Converter,00108189,,Faversham House Group Ltd.
Converting Magazine,07467141,,Elsevier
Converting Today,0264715X,,Polygon Media Ltd.
Convivium,00108235 ,,Universitat de Barcelona
Convulsive Therapy,07498055,,Raven Press
Cooperation and Conflict,00108367,,SAGE
Coordination Chemistry Reviews,00108545,,Elsevier
COPD: Journal of Chronic Obstructive Pulmonary Disease,15412555,15412563,Taylor & Francis
Copeia,00458511,,American Society of Ichthyologists and Herpetologists
Copenhagen Journal of Asian Studies,13954199,,Handelshoejskolen i Koebenhavn
Copenhagen Papers in East & Southeast Asian Studies,09032703,,University of Copenhagen
Cor et Vasa,00108650,,Elsevier
Cor Europaeum - European Journal of Cardiac Interventions,09398147,,Springer
Coral Reefs,07224028,14320975,Springer
Core Evidence,15551741,1555175X,Core Medical Pub
Corella,01550438,,Australian Bird Study Association
Cormorant,02500213,,The Cormorant Group
Cornea,02773740,,Wolters Kluwer Health
Cornell Engineering Quarterly,10679642,,Cornell University Press
Cornell Hospitality Quarterly,19389655,,SAGE
Cornell Hotel and Restaurant Administration Quarterly,00108804,,SAGE
Cornell International Law Journal,00108812,,Cornell University Press
Cornell journal of law and public policy,10690565,,"Joe Christensen, Inc."
Cornell Law Review,00108847,,Cornell University Press
Coronary Artery Disease,09546928,,Wolters Kluwer Health
Coronary Health Care,13623265,,Elsevier
Corpora,17495032,17551676,Edinburgh University Press
Corporate Communications,13563289,,Emerald
Corporate Environmental Strategy,10667938,,Elsevier
Corporate Governance,09648410,14678683,Wiley-Blackwell
Corporate Governance,14720701,,Emerald
Corporate Ownership and Control,17279232,18103057,Virtus Interpress
Corporate Reputation Review,13633589,14791889,Macmillan
Corporate Social Responsibility and Environmental Management,15353958,15353966,Wiley-Blackwell
Corpus Linguistics and Linguistic Theory,16137027 ,,Walter de Gruyter
Correo poblacional y de la salud / Centro de Estudios de Poblacion y Paternidad Responsable,1390082X ,,Centro de Estudios de Poblacion y Paternidad Responsable (CEPAR)
Correspondances en MHND,21009619 ,,Edimark
Corrosion,00109312,,NACE International
Corrosion and Coatings,03778711,,George Warman Publications (Pty.) Ltd.
Corrosion and Materials,13261932 ,,Australasian Corrosion Association
Corrosion and Protection,1005748X,,Shanghai Research Institute of Materials
Corrosion Engineering,00109355,,Allerton Press Inc.
Corrosion Engineering Science and Technology,1478422X,,Maney Publishing
Corrosion Management,13555243,,Impact Company Publications
Corrosion Prevention and Control,00109371,,Scientific Surveys Ltd.
Corrosion Reviews,03346005,,Freund Publishing House Ltd.
Corrosion Science,0010938X,,Elsevier
Corrosion Science and Protection Technology,10026495,,Zhongguo Kexueyuan
Corrosion Series,18759491,,Elsevier
Corrugated and Carton Packaging Bulletin,1361164X,,Data Transcripts
Corse Mediterranee Medicale,00458686 ,,
Cortex,00109452,,Elsevier
Cosmetic Dermatology,10413766,,Quadrant HealthCom
Cosmetologica,0070055X,,Grosse Verlag GmbH
Cosmic Research (English translation of Kosimicheskie Issledovaniya),00109525,16083075,Maik Nauka/Interperiodica Publishing
Cosmos and History,18329101 ,,Open Humanities Press
COSPAR Colloquia Series,09642749,,Elsevier
COSSMA,14397676,,Health and Beauty Business Media GmbH and Co
Cost & quality : CQ,,,SouthWest Medical Pub.
Cost & quality quarterly journal : CQ,10795057,,SouthWest Critical Care
Cost Effectiveness and Resource Allocation,14787547,,Springer
"Cost Engineering (Morgantown, West Virginia)",02749696,,AACE International
Costume,05908876,,Maney Publishing
Cotinga,1353985X ,,Neotropical Bird Club
Cough,17459974,,Springer
Counseling and Values,01607960 ,,American Personnel and Guidance Association
Counseling Psychologist,00110000,,SAGE
Counselling and Psychotherapy Research,14733145 ,,British Association for Counselling and Psychotherapy
Counselling Psychology Quarterly,09515070,14693674,Taylor & Francis
Counselor Education and Supervision,00110035 ,,American Counseling Association
Courrier des Pays de l'Est,05900239,,Centre D'Etudes et de Documentation Sur L&apos;ex-URSS
CPD Anaesthesia,14662922,,"Rila Publications, Ltd."
CPD Bulletin Cellular Pathology,14642506,,"Rila Publications, Ltd."
CPD Bulletin Clinical Biochemistry,13678930,,"Rila Publications, Ltd."
CPD Bulletin Immunology and Allergy,13678949,,"Rila Publications, Ltd."
CPD Bulletin Neurology,1466142X ,,"Rila Publications, Ltd."
CPD Bulletin Old Age Psychiatry,14642514,,"Rila Publications, Ltd."
CPD Bulletin Psychiatry,1463046X ,,"Rila Publications, Ltd."
CPD Infection,14681668,,"Rila Publications, Ltd."
